1713723122533798912.000000,-0.001485197,0.001725455,0.047252305,-0.000855817,-0.010622106,0.000684959,0.999943018
1713723122567111424.000000,-0.005938061,-0.014008783,0.055346034,-0.001488952,-0.010567792,-0.000730353,0.999942780
1713723122600423936.000000,0.002369695,0.006582805,0.063300528,0.000997170,-0.012261652,0.000110032,0.999924362
1713723122633736192.000000,-0.006569992,0.001120465,0.079089284,-0.000812373,-0.010831833,-0.000517845,0.999940872
1713723122667047424.000000,-0.000560016,0.005120260,0.082020894,0.000637416,-0.011819320,0.000461148,0.999929845
1713723122700359168.000000,-0.001956495,0.009341842,0.096255094,0.002444580,-0.011863129,0.000515602,0.999926507
1713723122733669888.000000,0.001327398,0.009700885,0.104728751,0.000798496,-0.012473140,0.000065672,0.999921918
1713723122766980352.000000,-0.001162270,0.005554000,0.115502521,0.000334586,-0.012428190,-0.001124849,0.999922097
1713723122800290816.000000,-0.005557634,0.003079204,0.087724797,0.000860374,-0.011068459,0.001131603,0.999937773
1713723122833600512.000000,0.001348867,0.005314991,0.124740534,0.001230201,-0.013102614,0.000154265,0.999913394
1713723122866910208.000000,0.005532283,0.002339071,0.136383727,-0.000239101,-0.014089149,0.000902231,0.999900341
1713723122900219392.000000,0.008182637,0.000956696,0.143359050,0.000266369,-0.014824155,0.000079160,0.999890089
1713723122933528320.000000,-0.003667881,0.005779385,0.159107730,0.001403434,-0.012327664,0.001180787,0.999922395
1713723122966836992.000000,-0.023870148,0.018212469,0.215365157,0.002923208,-0.009731500,0.000900599,0.999947965
1713723123000144640.000000,-0.008379660,0.009841290,0.225461304,0.000574442,-0.012313989,0.000904542,0.999923646
1713723123033453056.000000,-0.001354569,0.008567481,0.234264314,0.000996811,-0.013612643,0.000827930,0.999906540
1713723123066759936.000000,-0.001634320,0.007294487,0.188685253,0.000049734,-0.011707137,0.001275384,0.999930680
1713723123100067072.000000,-0.002023471,0.011921561,0.210306987,0.000248239,-0.010322242,0.000568367,0.999946535
1713723123133383680.000000,-0.014608275,0.014467420,0.267150939,0.000056123,-0.006170855,0.000909711,0.999980569
1713723123166700032.000000,-0.007534574,0.011219792,0.276304394,0.000129057,-0.004640960,0.001303697,0.999988377
1713723123200016384.000000,0.002308375,0.014498485,0.282199740,0.000350190,-0.003003469,0.001418772,0.999994457
1713723123233331712.000000,0.007335462,0.009932500,0.247840688,-0.002143974,-0.000421042,0.001204819,0.999996960
1713723123266646784.000000,0.001860323,0.012294357,0.303756237,-0.002291348,0.002522678,0.001191423,0.999993503
1713723123299961856.000000,0.012833228,0.010448984,0.268251598,0.000561926,0.002839656,0.001666308,0.999994457
1713723123333276160.000000,0.011579204,0.008811368,0.249591395,-0.002492788,0.003912094,0.000286311,0.999989212
1713723123366590208.000000,0.005221889,0.010575688,0.299014628,-0.003407321,0.003882608,0.000348423,0.999986589
1713723123399904256.000000,0.007649908,-0.000248724,0.271449089,-0.005028437,0.003370201,-0.001061546,0.999981165
1713723123433218048.000000,0.009134970,0.008103495,0.277865767,-0.000919391,0.001524409,-0.001518472,0.999997318
1713723123466531072.000000,0.007833690,0.010489003,0.287339211,-0.004232335,0.000134418,-0.001154657,0.999990404
1713723123499843584.000000,0.007031451,0.004096914,0.297240257,-0.006438754,-0.001422432,-0.001401563,0.999977350
1713723123533155584.000000,-0.001916433,0.003124285,0.309597760,-0.003951183,-0.001388909,-0.001467377,0.999990225
1713723123566468096.000000,0.007340874,0.012890465,0.309448540,-0.002153480,-0.004538935,-0.000265691,0.999987423
1713723123599779584.000000,0.008600052,0.011734310,0.309407473,-0.005097100,-0.007064952,-0.001237852,0.999961376
1713723123633090816.000000,0.006893634,0.010088844,0.320714712,-0.005104689,-0.008123925,-0.001243651,0.999953210
1713723123666401536.000000,0.008870008,0.009022107,0.326107174,-0.002055838,-0.009617235,-0.000461918,0.999951601
1713723123699712256.000000,0.012391344,0.014854268,0.331898242,-0.003797936,-0.011077914,-0.000589929,0.999931276
1713723123733022720.000000,0.004126744,0.011809568,0.347646981,-0.004984274,-0.010296180,-0.001813779,0.999932945
1713723123766332672.000000,0.007039557,0.010449517,0.350875288,-0.003941603,-0.010115419,-0.001323508,0.999940217
1713723123799641600.000000,0.006936870,0.013957052,0.358882755,-0.001784159,-0.009914516,-0.001738957,0.999947786
