timestamp,x,y,z,qx,qy,qz,qw
1.6796901142800015e+18,-1.899660205650162,2.2180911274681563,1.339800808044462,0.6977968537365276,0.03682091076189753,-0.008963469074716365,0.7152925469122506
1.679690114313495e+18,-1.8941868382188483,2.205209239489388,1.34027871421263,0.6967744684091828,0.04374583196386439,-0.00632338757480075,0.7159271311582408
1.6796901143469903e+18,-1.8810662240752323,2.1653427222853643,1.326251474324133,0.6978709300561401,0.051966290809611015,-0.003805039156581139,0.7143256899195812
1.679690114380487e+18,-1.9003404172776137,2.17589107031323,1.327398472014318,0.6993728602067162,0.06242572852520878,0.0033449999637258283,0.7120178662081569
1.6796901144139858e+18,-1.8673575268084646,2.1683617449883648,1.346666693798748,0.697741640661653,0.06577234623407613,0.008247590951678381,0.7132759484246916
1.6796901144474862e+18,-1.8959519880432243,2.1618121558400727,1.3536434883105275,0.6975908319335146,0.07265411551866585,0.016447432344058415,0.712613424424347
1.679690114480988e+18,-1.9022584065748733,2.1614105793108247,1.34580383571882,0.6988400045748057,0.07528368814867947,0.02026501657031535,0.7110164157092456
1.6796901145144922e+18,-1.899002184971002,2.16840151011697,1.3462440913881812,0.6993538033464004,0.07509078621531551,0.023957820419270977,0.7104165358515016
1.679690114547997e+18,-1.9135635372756767,2.0656094814401675,1.3307853536518026,0.7001438655446923,0.0753951033536987,0.025804146914273858,0.7095409022265364
1.6796901145815043e+18,-1.9104897936440122,2.0430219273504275,1.3317965418130107,0.7015686836044231,0.07267381154412011,0.027603738115745687,0.7083487368120619
1.6796901146150136e+18,-2.0743173703397133,2.1847648770306973,1.3733616453983528,0.7005277442228078,0.08051214274529517,0.04239934420655187,0.7078000918730656
1.6796901146485243e+18,-2.1010849053865615,2.1766558815327492,1.3753083464917784,0.7018216775151597,0.07896560419628418,0.04462530568518081,0.7065545615281433
1.679690114682037e+18,-2.0859653850025,2.152486136965082,1.3692339361627903,0.7026385634145358,0.0745114130055281,0.04106165984572358,0.7064425232284585
1.6796901147155512e+18,-2.076422654567046,2.109956680050649,1.3899697158984765,0.7033421358357969,0.06928230055023477,0.03899347559205759,0.7063917550832952
1.6796901147490665e+18,-2.112521104833256,2.090517395556397,1.400511762095944,0.7045329472752345,0.06947041931485709,0.038589151340148946,0.7052078164929375
1.6796901147825843e+18,-2.1091129137478206,2.072108562211557,1.4174259672453609,0.7048511387276364,0.06528938070582546,0.03518197544169763,0.7054675028698514
1.6796901148161037e+18,-1.9607373161577801,1.865448555552061,1.3017982631418974,0.709147110743282,0.05595449385903606,0.009548478105222795,0.7027718666162649
1.679690114849625e+18,-1.9739915101303076,1.8413849511718672,1.308729202288033,0.7105918414708108,0.05430676355935016,0.005050442786129472,0.7014873507729809
1.679690114916673e+18,-1.910887299444447,1.935383652664937,1.440577339270975,0.7089206757922544,0.042385814762713414,-0.004001398453508639,0.7040020645932584
1.6796901149501988e+18,-1.9843048300414157,1.8975298652860244,1.4743773205047601,0.7103171378213098,0.045460149526108884,-0.008635686550637109,0.7023591413516346
1.679690114983727e+18,-1.9585986995071862,1.7569458997999692,1.3282585837058782,0.7136494641036448,0.05088791729692066,-0.0344120781171614,0.6978041782172277
