,f_dataset-loc000_monoic.txt
nr. of poses,1360.0
path length (m),35.04843838013419
duration (s),47.230896949768066
t_start (s),1679690114.2800016
t_end (s),1679690161.5108986
v_max (m/s),17.267924505131692
v_min (m/s),0.016228415743983135
v_avg (m/s),0.7434304025343131
v_max (km/h),62.16452821847409
v_min (km/h),0.058422296678339286
v_avg (km/h),2.6763494491235273
dt_max (s),0.16704726219177246
dt_min (s),0.033030033111572266
dt_avg (s),0.034754155224259065
